,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
724,941234,9999650,90,64355,75844,742,804990,755242,22.17479657376576,947202.03,10039881.38
725,949843,10091838,90,64994,76601,736,813031,762792,28.075181385858006,947191.38,10040255.98
726,949260,10086240,89,64994,76572,729,813031,762507,26.473052706060173,947179.84,10040622.12
727,948803,10081899,89,64994,76528,722,813031,762068,25.26487268962829,947168.63,10040991.83
728,948366,10077512,88,64994,76540,715,813031,762191,24.358114975462165,947157.9,10041364.19
729,947902,10073051,87,64994,76539,708,813031,762185,23.680350937478977,947147.18,10041736.42
730,947426,10068493,85,64994,76522,701,813031,762025,23.260263203109233,947136.47,10042108.71
731,946958,10063959,85,64994,76507,694,813031,761867,23.016625973760497,947125.79,10042480.49
732,946523,10059697,84,64994,76522,687,813031,762023,22.833898051748946,947115.39,10042852.65
733,946062,10055298,84,64994,76507,680,813031,761874,22.58415369754187,947104.96,10043225.16
734,945616,10050969,82,64994,76478,673,813031,761586,22.396128093669223,947094.78,10043598.4
735,945165,10046677,82,64994,76449,666,813031,761300,22.222723887380056,947084.52,10043972.52
736,944741,10042490,75,64994,76478,610,813031,761583,22.167042915535042,947074.93,10044350.81
737,944298,10038276,75,64994,76478,604,813031,761583,22.062782186651283,947065.76,10044733.1
738,943860,10034110,73,64994,76478,598,813031,761583,21.96539649914339,947056.96,10045118.97
739,943437,10029987,73,64994,76478,592,813031,761583,22.099047374357543,946958.38,10044547.39
740,943022,10026033,72,64994,76478,586,813031,761583,22.2171426736253,946861.67,10043993.71
741,942604,10021983,72,64994,76478,580,813031,761583,22.235237957599928,946765.66,10043445.94
742,942192,10017983,70,64994,76478,574,813031,761583,22.263617181707676,946670.6,10042907.47
743,941775,10014003,70,64994,76478,568,813031,761583,22.2660419018248,946576.3,10042376.07
744,941387,10010211,69,64994,76478,562,813031,761583,26.61503107651022,946483.01,10041854.26
745,940953,10005994,69,64994,76478,556,813031,761583,25.88300070279427,946390.29,10041337.2
746,940512,10001766,67,64994,76478,550,813031,761583,25.33317758912706,946297.96,10040823.79
747,940087,9997632,67,64994,76478,544,813031,761583,24.91660721111577,946206.21,10040314.74
748,948655,10089803,66,65649,77242,539,821171,769200,31.127355214866235,946204.99,10040774.3
749,948113,10084370,66,65649,77181,533,821171,768593,28.845516411149674,946203.11,10041224.2
750,947637,10079954,64,65649,77149,528,821171,768278,27.05073778493096,946200.93,10041672.48
