,Emissions,Supply,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Clearing Price Double Auction,Emissions Rolling,Supply Rolling,Clearing Price Rolling,Clearing Price Double Auction Rolling
107,960809,9991920,175322,699443,692884,34.989051368054156,45.25537170060464,980090.21,10011468.33,44.05795847889065,53.29304519119241
108,965053,10040972,173572,706153,699558,41.91553663157738,46.10709029473512,979784.59,10012133.83,44.203441986451566,53.4530770495094
109,962369,10015620,171829,706013,699432,36.91300132808067,46.10709029473512,979413.34,10012093.15,44.23759570014303,53.54567402290851
110,959878,9992260,170129,705747,699421,34.838670690133156,46.10709029473512,979047.45,10012090.41,44.281958801353355,53.63827099630759
111,964128,10041265,168431,712260,706139,41.784828725621594,45.96331159818376,978685.31,10012130.18,44.331574955363166,53.69284876571839
112,961472,10015994,166743,711996,706007,36.824889149849994,45.96331159818376,978326.7,10012190.22,44.371096983107776,53.7474265351292
113,958996,9992735,165093,712258,705719,34.19805875427939,45.96331159818376,977970.97,10012265.59,44.31855064674492,53.77308003481482
114,963228,10042127,163445,719384,711953,41.080362608205895,45.188398869026486,977618.6,10012384.3,44.26425791781162,53.71335803298819
115,960575,10016936,161807,719384,711542,36.311684385532956,45.188398869026486,977269.98,10012525.35,44.224101515013274,53.65363603116156
116,958125,9993816,160207,718952,711659,34.17849336627054,45.188398869026486,976925.41,10012689.66,44.18386565254728,53.593914029334925
117,962384,10043014,158609,725556,718192,41.093002278797314,45.20230250667705,976584.43,10012892.42,44.14282486003812,53.548769157574824
118,959715,10017667,157021,725269,717908,36.32136201505612,45.20230250667705,976246.74,10013112.19,44.11435875581258,53.50362428581473
119,957255,9994558,155464,725407,717646,34.26355184058151,45.20230250667705,975845.37,10012649.63,43.99479581236285,53.447229002840416
120,961517,10044059,153916,732657,723741,41.16129712184184,45.27742683402603,975516.7,10012955.26,44.00710445841371,53.39158496313958
121,958871,10018830,152373,732657,723207,36.38209247328322,45.27742683402603,975189.14,10013256.75,44.00388348186347,53.335940923438756
122,956415,9995555,150835,732507,723592,34.2751576897046,45.27742683402603,974798.02,10012871.2,43.910576077425624,53.309050312310646
123,960678,10044781,149335,739527,730538,41.189142473040135,45.308056720344155,974479.38,10013249.17,43.942717504837994,53.282466000045716
124,958071,10019805,147837,739674,730396,36.40338959287534,45.308056720344155,974161.88,10013622.52,43.859907742899814,53.24401854359554
125,955611,9996558,146349,739375,729842,34.24560121377537,45.308056720344155,973780.47,10013308.06,43.680984594332266,53.123582034023144
126,959864,10046004,144899,746176,735764,41.167937670966666,45.28473143806334,973471.37,10013759.26,43.64732038998665,53.00291227162795
127,957217,10020733,143451,745883,735237,36.41223198885719,45.28473143806334,973164.01,10014211.54,43.552097011845845,52.88224250923275
128,954830,9998084,142013,745877,734656,33.964458544488416,45.28473143806334,972793.3,10013981.22,43.35640235923543,52.74621666175256
129,959133,10047798,140606,753034,739749,40.88102224337378,44.96912446771116,972495.14,10014515.33,43.31060187293447,52.60703474456884
130,956496,10022660,139208,752888,738334,36.18288746904719,44.96912446771116,972131.18,10014343.17,43.14198246190711,52.47323287495634
131,954069,9999698,137815,752722,737673,34.652076512445944,44.96912446771116,971772.54,10014212.01,43.037483914151636,52.33943100534384
132,958357,10049438,136427,759635,741868,41.58136212545911,45.73949833800502,971484.0,10014824.07,43.05131321863716,52.213332874434265
133,955738,10024260,135070,759331,739982,36.714921315542796,45.73949833800502,971130.07,10014727.91,42.944653979551795,52.14953856034945
134,953342,10001644,133722,759481,739050,34.68584496589585,45.73949833800502,970781.42,10014672.81,42.883252140299454,52.085744246264625
135,950728,9976539,132379,759332,737291,40.29960309185601,44.32956340104161,970433.57,10014611.34,42.80614437729637,52.00092570696122
136,955071,10026822,131041,766918,741200,47.64761443346503,52.41237587681154,970089.16,10014590.38,42.72539013652817,51.91209604211621
137,952492,10002037,129734,766769,739489,41.39706675730216,52.41237587681154,969748.34,10014590.87,42.66562093078009,51.823266377271196
138,950047,9978791,128436,766763,736776,48.92050199343426,52.41237587681154,969410.54,10014607.75,42.624312422418015,51.76382525491324
139,954371,10029056,127143,774124,739074,56.90443917733151,62.59488309506467,969075.67,10014662.19,42.58166522893418,51.716913342081035
140,951808,10004519,125855,773974,736571,48.217694023882615,62.59488309506467,968744.45,10014738.77,42.55059635604714,51.67000142924881
141,949441,9981994,124607,774123,734419,53.649281123097964,59.01420923540776,968349.74,10014127.6,42.493780786218885,51.607504302437725
142,953812,10032388,123364,781868,736444,61.97676530416648,68.17444183458313,968027.84,10014286.87,42.61517667727564,51.636609501618395
143,951231,10007418,122126,781868,733496,52.288206801490645,68.17444183458313,967706.99,10014442.39,42.69372188808757,51.665714700799064
144,948818,9984495,120919,781552,729874,55.68270978113531,61.25098075924885,967322.21,10013902.91,42.73124565033667,51.70699083927306
145,953177,10035046,119714,788735,729692,64.19381238046437,70.6131936185108,967009.92,10014134.46,42.9303962724696,51.841889106339664
146,950587,10010098,118521,788273,725834,53.86316750452636,70.6131936185108,966698.17,10014357.52,43.06813882988178,51.976787373406275
147,948176,9987047,117328,788566,721698,59.86400302555957,65.85040332811553,966322.25,10013884.53,43.19415639274209,52.11540669255262
148,952530,10037702,116140,796130,720727,68.70749571943108,75.57824529137419,966018.75,10014183.39,43.473112560706426,52.35130443133153
149,949953,10012844,114983,795970,716510,57.1547452117332,75.57824529137419,965716.36,10014477.38,43.56847147790495,52.583279495834574
150,947557,9989884,113835,795964,712184,57.14644624528468,75.57824529137419,965349.33,10014074.53,43.586338481413065,52.73010474390912
151,951896,10040387,112692,803600,710405,65.79043553563275,72.36947908919603,965054.67,10014442.83,43.7746939257079,52.84484232996189
152,949341,10015729,111554,803439,705827,54.91296771755529,72.36947908919603,964761.65,10014812.53,43.83990924285854,52.959579916014654
153,947032,9993617,110447,803433,701944,54.417003758077584,72.36947908919603,964405.33,10014493.48,43.82216054484535,53.06516409775327
154,951393,10044167,109349,811137,700158,62.82164191120117,69.10380610232129,964121.13,10014942.67,43.97529059083333,53.13809154962312
155,948853,10019611,108256,810974,695659,52.74220293599155,69.10380610232129,963770.87,10014675.82,43.95032569533572,53.22150399330307
156,946537,9997556,107168,810809,690308,46.69580690693784,69.10380610232129,963426.11,10014453.18,43.94936923213761,53.30491643698301
157,950945,10048428,106111,818600,686307,54.56488635596051,60.02137499155656,963151.88,10014980.37,44.07731296572739,53.29750456955529
158,948406,10023940,105056,818440,680739,46.50096865120496,60.02137499155656,962811.53,10014790.99,44.05140816398145,53.35771238238707
159,946055,10001475,104013,818598,675605,42.490058135728766,60.02137499155656,962476.26,10014640.01,44.05452912914525,53.41792019521885
160,943529,9977037,102970,818598,670529,49.04602159285401,60.02137499155656,962142.16,10014487.43,44.15477268060177,53.47812800805063
161,947946,10028038,101932,826776,666904,57.05609495031616,62.76170444534778,961811.94,10014375.83,44.26385357139387,53.59811698792195
162,945444,10003917,100925,826776,661780,48.413239095948796,62.76170444534778,961484.83,10014285.23,44.348215572071084,53.71810596779324
163,943143,9981749,99920,826608,655652,45.126610751590576,62.76170444534778,961161.03,10014212.89,44.431927077497114,53.83809494766456
164,947541,10032816,98927,834539,650389,52.89345180557807,58.18279698613588,960840.41,10014181.18,44.52363388333108,53.938972434081926
165,945057,10008715,97934,834375,644557,45.264296809522,58.18279698613588,960522.96,10014169.95,44.59458951299101,54.0398499204993
166,942742,9986551,96946,834538,638769,45.693540096595754,58.18279698613588,960208.45,10014175.14,44.615781559141695,54.142360200063855
167,947167,10037684,95989,842890,633712,53.49215276037293,58.84136803641023,959897.28,10014218.29,44.64029269132828,54.169322445469106
168,944648,10013360,95034,842890,627705,45.770807728538166,58.84136803641023,959589.14,10014281.81,44.65914034047184,54.19628469087434
169,942402,9991514,94091,842394,621424,51.98594161545451,57.184535776999965,959285.18,10014370.15,44.77150504685766,54.20667861368547
170,946819,10042655,93148,849835,615204,60.25828842363747,66.28411726600122,958984.31,10014492.41,44.89316892977788,54.340508884897716
171,944286,10018024,92210,849349,609048,50.94972671408937,66.28411726600122,958686.01,10014627.75,44.98809734726945,54.474339156109956
172,941938,9995362,91303,849829,602953,44.48814560261172,66.28411726600122,958390.06,10014774.76,45.03483750694149,54.6081694273222
173,946327,10046580,90398,858323,596920,52.232122961191706,57.45533525731088,958096.76,10014957.37,45.087100291618526,54.66565849046693
174,943859,10022690,89498,858323,590947,44.78911933166063,57.45533525731088,957806.6,10015159.86,45.128143853765614,54.72314755361166
175,941628,10001000,88605,857979,585030,40.77845367197382,57.45533525731088,957519.43,10015379.44,45.05619049329996,54.78063661675639
176,939120,9976547,87712,857639,579173,43.9241018981334,48.31651208794675,957165.83,10014876.09,44.93736561317575,54.649929248619785
177,943600,10028269,86824,865871,573374,51.5857860683782,56.74436467521602,956884.69,10015147.89,44.980509593296965,54.60350040635585
178,941107,10003960,85967,865534,567635,44.732589878937645,56.74436467521602,956603.95,10015410.38,44.91470777394184,54.60650356314907
179,938697,9980545,85112,865868,561952,47.70736359797747,52.47809995777522,956257.38,10014957.32,44.79818193957513,54.47832514534568
180,943164,10032347,84262,874520,556326,55.64777618984853,61.212553808833384,955983.34,10015282.76,44.85325221046395,54.437491266052874
181,940681,10008096,83419,874520,550758,47.609771536325795,61.212553808833384,955642.93,10014886.24,44.74786051613084,54.4099784534752
182,938276,9984744,82576,874346,545247,46.92287361022624,61.212553808833384,955306.28,10014517.27,44.726562556406606,54.38246564089753
183,942733,10036334,81738,882740,539792,54.81420887010634,60.29562975711698,955039.49,10014898.02,44.84408275890717,54.3457835878027
184,940274,10012279,80931,882569,534391,46.783020499624946,60.29562975711698,954707.0,10014557.78,44.80660063826903,54.39289632717604
185,938043,9990668,80126,882384,529042,51.87505224076012,57.06255746483614,954379.83,10014259.22,44.89203934680627,54.407678343626564
186,942499,10042499,79326,890503,523748,60.145395514921,66.1599350664131,954122.31,10014711.37,45.09829891523691,54.513434136092876
187,940005,10018188,78533,890155,518504,50.800522463162764,66.1599350664131,953798.38,10014439.65,45.13896052248067,54.66095550763035
188,937746,9996028,77740,890155,513314,59.00928283929886,66.1599350664131,953479.33,10014204.81,45.324112274278825,54.80847687916783
