,Emissions,Supply,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Clearing Price Double Auction,Emissions Rolling,Supply Rolling,Clearing Price Rolling,Clearing Price Double Auction Rolling
1935,787214,10063341,0,10045693,0,84.07905916968627,114.7899753929818,786979.25,10032613.35,70.4485355031844,99.37430291140656
1936,786672,10056492,0,10039018,0,88.97835954195268,100.77622807744993,786971.54,10033048.41,70.48014756045956,99.82681522722656
1937,785769,10045182,0,10027883,0,73.79709603085561,100.77622807744993,786965.53,10033502.98,70.23474585523537,100.27932754304656
1938,784816,10033341,0,10016215,0,73.7119575094061,100.77622807744993,786889.49,10033063.37,69.86002732198406,99.93400137962615
1939,783677,10019103,0,10002147,0,73.66884255420604,100.77622807744993,786809.39,10032572.97,69.6925974286215,99.58867521620574
1940,782546,10005007,0,9988220,0,73.83160104325974,100.77622807744993,786728.1,10032064.56,69.65413850420762,99.24334905278532
1941,781436,9991053,0,9974434,0,74.18267632031574,100.77622807744993,786647.15,10031556.43,69.71805386510088,98.89802288936491
1942,787227,10065694,0,10049243,0,74.70861064771768,100.77622807744993,786635.38,10031933.13,69.86228589785267,98.5526967259445
1943,786331,10054377,0,10038093,0,69.20706040915721,100.77622807744993,786625.92,10032333.7,70.00840863532439,98.20737056252409
1944,785241,10040788,0,10024668,0,64.60544465806218,100.77622807744993,786616.63,10032734.03,70.15154886613713,97.86204439910367
1945,784162,10027287,0,10011377,0,60.9118888487874,100.77622807744993,786607.51,10033133.66,70.29010486056347,97.51671823568326
1946,783094,10013967,0,9998216,0,57.95884167820397,100.77622807744993,786527.82,10032630.4,70.30811377736462,97.79829713259875
1947,782038,10000781,0,9985188,0,55.612987273305365,100.77622807744993,786445.28,10032090.02,70.37421948191209,98.07987602951424
1948,780995,9987726,0,9972290,0,53.76593569401231,100.77622807744993,786361.42,10031531.36,70.39469301931553,98.50385072274855
1949,786930,10064049,0,10048768,0,52.32938717456111,100.77622807744993,786345.34,10031841.0,70.4587289223351,98.92782541598288
1950,786098,10053553,0,10038424,0,46.53321561046875,100.77622807744993,786330.66,10032164.4,70.4196973749487,99.33834720594413
1951,785079,10040844,0,10025865,0,42.101252743495124,100.77622807744993,786314.08,10032461.91,70.39359914218528,99.7488689959054
1952,784074,10028262,0,10013433,0,38.82212880315086,100.77622807744993,786296.06,10032737.79,70.34424417209377,100.15939078586665
1953,783075,10015803,0,10001122,0,36.40071740774624,100.77622807744993,786279.1,10033024.05,70.2790565352857,100.56991257582791
1954,782090,10003471,0,9988936,0,34.61884388590815,100.77622807744993,786192.72,10032420.05,70.10947403183077,100.98043436578916
1955,781114,9991259,0,9976870,0,33.316668947577945,100.77622807744993,786104.45,10031790.76,69.86348368155954,101.28500260867985
1956,787173,10069214,0,10054970,0,41.20135939588424,55.08846303813789,786087.5,10032072.64,69.77229293403973,101.1326932011774
1957,786400,10059472,0,10045371,0,37.96427729992292,55.08846303813789,786070.19,10032348.13,69.58021238746909,100.98038379367497
1958,785521,10048699,0,10034738,0,39.829572219014764,44.618993208603264,786054.69,10032647.74,69.32988175477615,100.72337968787718
1959,784899,10041089,0,10027316,0,35.53706556070022,44.618993208603264,786043.45,10033001.78,68.95581475865725,100.4663755820794
1960,784569,10036603,0,10022964,0,34.86638902698047,44.618993208603264,786039.34,10033440.18,68.4897687285355,100.20937147628162
1961,783624,10024540,0,10011036,0,35.58589977176504,44.618993208603264,785964.95,10032980.17,67.94963206035793,99.59283734092216
1962,782694,10012605,0,9999235,0,37.474110221866326,42.18013140811158,785888.6,10032493.11,67.58514920989485,98.95191458755778
1963,782160,10005739,0,9992501,0,35.23957627891634,42.18013140811158,785813.05,10032010.03,67.22064535209346,98.31099183419342
1964,781959,10003159,0,9990102,0,41.33904111876845,42.18013140811158,785746.83,10031639.91,66.94415496228494,97.67006908082904
1965,781106,9992152,0,9979223,0,48.03973101181822,42.18013140811158,785683.32,10031297.07,66.75391168707047,97.02914632746466
1966,787302,10071115,0,10058311,0,53.983097191544445,65.597301320711,785692.89,10031879.85,66.63580197515357,96.62239527322629
1967,786556,10061430,0,10048752,0,47.56350991948733,65.597301320711,785705.99,10032500.42,66.46057248051798,96.2156442189879
1968,786269,10058075,0,10045523,0,55.06449299891179,65.597301320711,785656.7,10032320.71,66.25927623264876,95.80889316474953
1969,785286,10045745,0,10033318,0,63.26287894671341,65.597301320711,785605.58,10032116.31,66.064208714942,95.40214211051116
1970,784314,10033535,0,10021232,0,71.81512007922588,65.597301320711,785555.46,10031921.13,65.87969349172212,94.99539105627278
1971,783349,10021446,0,10009267,0,80.75423292263268,65.597301320711,785506.31,10031735.04,65.7058138171793,94.58864000203441
1972,782396,10009479,0,9997422,0,90.11639404281904,65.597301320711,785458.15,10031557.98,65.54255560016244,94.18188894779604
1973,781450,9997634,0,9985697,0,99.9377966017869,65.597301320711,785410.91,10031389.88,65.38977554679454,93.77513789355766
1974,787578,10076318,0,10064498,0,109.27977995465693,128.75674398169483,785435.22,10032134.73,65.23738109920237,93.99998126592911
1975,786830,10066866,0,10055165,0,88.91351065128995,128.75674398169483,785462.27,10032909.92,64.78237737730632,94.22482463830056
1976,786275,10060201,0,10048618,0,100.96127287218195,128.75674398169483,785422.93,10032834.75,64.3527305113039,93.85848835418417
1977,785261,10047647,0,10036231,0,82.79713660408744,128.75674398169483,785380.83,10032724.4,64.03322152610639,93.49215207006779
1978,784262,10035268,0,10023967,0,69.18901024262613,128.75674398169483,785337.91,10032602.06,63.553396275718406,93.1258157859514
1979,783276,10023012,0,10011825,0,59.07229769335272,128.75674398169483,785297.43,10032508.08,62.94911331930456,92.75947950183502
1980,782292,10010879,0,9999805,0,51.54561764048743,128.75674398169483,785259.33,10032442.16,62.24214612859873,92.39314321771863
1981,781325,9998866,0,9987904,0,45.938650769616494,128.75674398169483,785223.61,10032404.02,61.44768821608869,92.02680693360224
1982,787391,10077148,0,10066296,0,54.90111800426548,71.08987475645222,785260.48,10033295.12,60.70724721567628,91.08380195723343
1983,786613,10067450,0,10056706,0,48.11743850319911,71.08987475645222,785232.28,10033349.23,59.85896728468691,90.14079698086462
1984,786046,10060183,0,10049547,0,56.81583526500144,71.08987475645222,785207.51,10033443.1,59.18549106912526,89.19779200449581
1985,785044,10047526,0,10036996,0,66.39336050646656,71.08987475645222,785184.38,10033553.09,58.68600241193819,88.254787028127
1986,784056,10034995,0,10024571,0,76.69728218737936,71.08987475645222,785162.87,10033679.05,58.35474892434104,87.31178205175819
1987,783078,10022588,0,10012270,0,87.81972378138657,71.08987475645222,785143.03,10033820.8,58.18882242636778,86.36877707538937
1988,782105,10010256,0,10000092,0,99.8635791405615,71.08987475645222,785124.72,10033977.69,58.1879267226908,85.42577209902056
1989,781146,9998098,0,9988038,0,112.94184808935012,71.08987475645222,785038.27,10033257.25,58.354218480314536,84.48276712265175
1990,787224,10075997,0,10066038,0,126.14487457623825,152.25665803538237,785021.17,10033421.04,58.784860977044474,84.35142997907225
1991,786452,10066073,0,10056215,0,101.67182259017338,152.25665803538237,785007.39,10033620.52,59.07685662195406,84.22009283549276
1992,785952,10060220,0,10050462,0,106.56345907922052,119.22908676675227,784999.51,10033895.06,59.49985088401662,83.75847997922696
1993,785199,10050860,0,10041201,0,86.94626598026645,119.22908676675227,784994.9,10034208.73,59.790187220437225,83.29686712296116
1994,784580,10043313,0,10033749,0,97.72613959923744,119.22908676675227,784994.8,10034577.85,60.23739560272549,82.83525426669536
1995,783598,10031115,0,10021744,0,109.70511123116138,119.22908676675227,784995.43,10034954.62,60.8422200933347,82.37364141042956
1996,782634,10019135,0,10009856,0,122.52643536616627,119.22908676675227,784926.56,10034439.34,61.48414425289411,82.81675471568995
1997,781680,10007275,0,9998088,0,136.27056709800098,119.22908676675227,784856.05,10033902.97,62.34101682743624,83.25986802095035
1998,780733,9995533,0,9986437,0,151.0270584326925,119.22908676675227,784785.71,10033366.13,63.33195627813827,83.70298132621073
1999,786829,10074129,0,10065122,0,165.73968874952132,186.88657648806105,784787.59,10033752.91,64.45776512793091,84.82266952868422
2000,786057,10064512,0,10055595,0,131.32905450105696,186.88657648806105,784792.92,10034179.82,65.22636359300813,85.9423577311577
2001,785164,10053458,0,10044627,0,122.94788110417409,186.88657648806105,784800.37,10034631.11,65.89717869639367,87.06204593363118
2002,784097,10040211,0,10031468,0,115.50035301618196,186.88657648806105,784808.1,10035084.01,66.47861242016798,88.18173413610467
2003,783041,10027097,0,10018441,0,109.25107269741471,186.88657648806105,784746.19,10034642.1,66.9816768759303,89.30142233857813
2004,781993,10014116,0,10005546,0,104.0158808435943,186.88657648806105,784682.13,10034172.64,67.50645970911405,90.42111054105162
2005,780960,10001262,0,9992778,0,99.65264116122245,186.88657648806105,784618.4,10033705.33,68.045240369402,91.5407987435251
2006,779934,9988540,0,9980141,0,96.04249085832043,186.88657648806105,784554.95,10033239.66,68.5900859154019,92.66048694599858
2007,785855,10065050,0,10056736,0,93.08405879448813,186.88657648806105,784561.13,10033666.66,69.13616104294306,93.78017514847207
