,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
806,943700,10036243,76,66019,78123,640,822000,779932,34.102497748970656,944576.92,10024303.28,28.510834748663733
807,943297,10032285,76,66019,78144,635,822000,780135,31.051449582914433,944523.6,10024174.81,28.470701380545723
808,942901,10028469,76,66019,78139,630,822000,780087,28.756006822285737,944471.41,10024056.46,28.440304323186734
809,942514,10024744,75,66019,78123,625,822000,779926,27.125035229637767,944419.62,10023942.56,28.418246598907476
810,942101,10020804,75,66019,78121,620,822000,779906,25.977557729497722,944368.27,10023831.79,28.403220800871622
811,941704,10017062,75,66019,78122,615,822000,779924,26.00946414354059,944317.24,10023726.11,28.40253501108176
812,941325,10013347,73,66019,78124,610,822000,779949,25.010586479748465,944266.81,10023624.54,28.401703911468996
813,940963,10009794,73,66019,78122,605,822000,779920,25.45950862297868,944217.18,10023529.3,28.413535376955203
814,940583,10006140,71,66019,78122,600,822000,779920,25.71138070038925,944168.03,10023438.68,28.43385740485626
815,940174,10002187,71,66019,78122,595,822000,779920,25.83403381607221,944118.84,10023347.68,28.443647328176272
816,939761,9998275,71,66019,78122,590,822000,779920,26.028635710857003,944070.14,10023261.19,28.44704841608247
817,945134,10055294,70,66426,78508,587,827102,783758,32.1311711378503,944079.67,10023788.16,28.503780062731085
818,944615,10050631,70,66426,78492,582,827102,783597,29.576733331742705,944088.47,10024311.33,28.52767658259125
819,944220,10046699,70,66426,78508,577,827102,783756,27.68254999880703,944046.41,10024291.51,28.475351270352625
820,943837,10042900,68,66426,78508,572,827102,783756,26.601153005434387,944005.77,10024282.07,28.439689739612895
821,943432,10038936,68,66426,78522,567,827102,783903,25.418635568757974,943965.6,10024276.88,28.41311706241678
822,943036,10035115,68,66426,78508,562,827102,783754,24.74265271640445,943925.64,10024274.71,28.393962297207747
823,942621,10031152,66,66426,78493,558,827102,783607,24.092899250025635,943886.2,10024276.75,28.38037671911319
824,942209,10027161,66,66426,78478,554,827102,783461,23.538482921611553,943847.15,10024281.81,28.37052394422886
825,941829,10023392,66,66426,78481,550,827102,783489,23.11599203175536,943808.47,10024289.33,28.3602135985596
826,941462,10019758,66,66426,78470,546,827102,783374,23.302722576379058,943770.5,10024302.73,28.355005328052595
827,941061,10016042,65,66426,78458,542,827102,783261,23.357149099062593,943732.82,10024319.95,28.35390422098499
828,940687,10012524,64,66426,78447,538,827102,783149,23.658931682824278,943695.52,10024340.87,28.33631293091845
829,940321,10008876,64,66426,78436,534,827102,783038,23.801877353463663,943658.76,10024365.31,28.3047059801086
830,939954,10005266,64,66426,78425,530,827102,782928,23.849862141364103,943622.76,10024396.43,28.26115018041739
831,939552,10001360,62,66426,78414,526,827102,782819,23.817105358494153,943587.09,10024430.82,28.20575762297996
832,939156,9997493,62,66426,78403,522,827102,782711,23.86485124959451,943498.3,10023900.31,28.09499845017566
833,944645,10055496,62,66762,78864,518,831250,787286,29.9878074012335,943469.47,10023998.24,28.077487426879475
834,944148,10050903,62,66762,78855,513,831250,787199,28.119018816231247,943440.1,10024092.38,28.066095636619984
835,943735,10046814,62,66762,78813,508,831250,786777,26.5530817759911,943410.98,10024187.29,28.05550222089643
836,943322,10042838,60,66762,78821,503,831250,786859,25.680748228323008,943382.07,10024284.9,28.047917715402154
837,942930,10039115,60,66762,78804,498,831250,786693,25.095781671838203,943353.6,10024387.17,28.045332524249403
838,942556,10035405,60,66762,78788,493,831250,786529,24.46332068065135,943325.79,10024493.81,28.042698294740195
839,942184,10031797,59,66762,78772,488,831250,786366,23.9165633169602,943298.68,10024606.44,28.04073706862172
840,941778,10027891,58,66762,78756,483,831250,786205,23.69507242652064,943271.65,10024720.08,28.042093484541272
841,941382,10023987,57,66762,78772,478,831250,786364,23.659441005899506,943244.69,10024834.42,28.04753391284401
842,940994,10020163,57,66762,78772,473,831250,786364,23.48067097998854,943218.06,10024948.9,28.048815359972664
843,940605,10016500,56,66762,78772,468,831250,786364,23.320803664175955,943191.59,10025065.68,28.048497861812777
844,940259,10013110,55,66762,78772,463,831250,786364,23.20399448780656,943165.99,10025190.11,28.04780460772899
845,939892,10009629,55,66762,78772,458,831250,786364,25.14449188638872,943141.02,10025321.32,28.066175519376262
846,939520,10006020,55,66762,78772,453,831250,786364,26.650319871589012,943057.15,10024833.66,28.03723149311169
847,939125,10002113,55,66762,78772,448,831250,786364,27.84860097836234,942974.68,10024356.34,28.039271526391044
848,938712,9998194,53,66762,78772,443,831250,786364,28.94504707252945,942892.55,10023882.79,28.066551620883388
849,943386,10048325,54,67101,79239,445,835542,791034,34.68931819923625,942861.41,10023952.2,28.16180600748518
850,942926,10043923,52,67101,79227,440,835542,790917,31.6157265855816,942830.13,10024020.42,28.234117303167682
851,942540,10040162,51,67101,79215,435,835542,790801,29.332397954261577,942799.28,10024092.35,28.289666408420604
852,942151,10036274,51,67101,79220,430,835542,790846,27.640530058735003,942768.91,10024166.94,28.332347159897285
853,941756,10032475,51,67101,79191,425,835542,790572,26.251212424476407,942738.6,10024242.44,28.36326192656306
854,941350,10028599,51,67101,79164,420,835542,790300,25.220230364356045,942708.37,10024319.62,28.38458234105464
855,940943,10024692,44,67101,79160,366,835542,790253,24.764677022558818,942678.2,10024397.82,28.401701681344342
856,940561,10020957,44,67101,79175,362,835542,790409,24.31106995597384,942648.38,10024478.25,28.416888979138626
857,940179,10017213,44,67101,79191,358,835542,790569,23.902361478144655,942618.7,10024558.76,28.40192548896485
858,939802,10013536,43,67101,79175,354,835542,790408,23.67798176236152,942589.34,10024641.14,28.363788507710442
859,939414,10009787,41,67101,79159,350,835542,790248,28.103471932833507,942560.32,10024727.76,28.352696298305496
860,939030,10006119,41,67101,79143,346,835542,790090,32.41412575530401,942531.82,10024818.98,28.3682197954306
861,938630,10002211,41,67101,79127,342,835542,789934,36.49912914117675,942452.48,10024367.32,28.370483625728227
862,938227,9998339,41,67101,79112,338,835542,789779,41.76714122105962,942374.07,10023924.69,28.461258844493656
863,942944,10049368,34,67507,79471,286,840571,793386,46.24412269383969,942347.0,10024032.06,28.623735965840414
864,942500,10045005,34,67507,79445,283,840571,793123,40.32709737871868,942319.78,10024137.71,28.747311638211656
865,942104,10041244,34,67507,79422,280,840571,792897,35.764939822360176,942292.83,10024246.13,28.83963835555402
866,941721,10037486,34,67507,79352,277,840571,792198,32.33899798486699,942266.45,10024358.82,28.90761579494044
867,941320,10033591,32,67507,79319,274,840571,791877,29.82199468825368,942240.15,10024471.74,28.95884569277728
868,940927,10029747,26,67507,79319,222,840571,791867,27.86843025216705,942213.77,10024583.9,28.99687431602932
869,940549,10026152,26,67507,79348,220,840571,792154,26.39467468352697,942187.85,10024700.61,29.02566657740402
870,940188,10022527,26,67507,79348,218,840571,792154,25.376416336933776,942161.98,10024816.26,29.008722533073314
871,939790,10018782,25,67507,79348,216,840571,792154,24.669363292397875,942136.21,10024933.64,28.940436187427462
872,939421,10015162,25,67507,79348,214,840571,792154,24.14164622003327,942111.11,10025056.87,28.824563473521348
873,939052,10011605,25,67507,79348,212,840571,792154,26.225978421849003,942086.56,10025186.23,28.68612891362504
874,938686,10008088,25,67507,79348,210,840571,792154,27.99485667864118,942010.08,10024758.12,28.519761657503746
875,938291,10004253,25,67507,79348,208,840571,792154,29.450820348896162,941934.45,10024337.58,28.424653718158005
876,937900,10000453,24,67507,79348,207,840571,792154,30.805081720947978,941858.94,10023918.94,28.385812030514185
877,937517,9996691,24,67507,79348,206,840571,792154,32.07734025615372,941783.81,10023503.35,28.391413754271596
878,942344,10048631,24,67860,79836,205,844907,797030,37.966207318694394,941761.23,10023648.14,28.480022598713898
879,941898,10044338,24,67860,79802,204,844907,796689,34.0540730932564,941738.33,10023790.09,28.547261235233446
880,941517,10040735,24,67860,79802,203,844907,796684,31.12215719382954,941715.68,10023934.88,28.597181423394396
881,941147,10037008,24,67860,79769,202,844907,796359,29.009690184528782,941693.46,10024082.34,28.634794779899167
882,940760,10033276,24,67860,79771,201,844907,796372,27.255275606524076,941671.5,10024231.92,28.661825626373542
883,940410,10029862,24,67860,79786,200,844907,796525,26.059638523074874,941650.07,10024386.23,28.682591476847037
884,940055,10026359,23,67860,79786,199,844907,796525,25.033425700816792,941628.89,10024542.18,28.67433342678054
885,939699,10022960,23,67860,79786,198,844907,796525,24.256740204853855,941608.04,10024702.14,28.6435282712284
886,939326,10019273,23,67860,79802,197,844907,796689,23.795567201833162,941587.84,10024866.14,28.596169395289298
887,938937,10015521,23,67860,79786,196,844907,796523,23.32351155956696,941567.86,10025033.16,28.533026259188365
888,938594,10012249,23,67860,79769,195,844907,796359,23.135490812532364,941494.12,10024626.56,28.41103297906101
889,938251,10008912,23,67860,79753,194,844907,796196,27.640367782051538,941421.93,10024233.85,28.36703701284932
890,937880,10005433,23,67860,79737,193,844907,796035,32.285369884697076,941350.13,10023846.98,28.392630734023815
891,937516,10001823,23,67860,79721,192,844907,795876,29.964027413522807,941279.18,10023467.03,28.4145478558906
892,937142,9998166,23,67860,79705,191,844907,795718,28.044449131570676,941208.43,10023089.39,28.429060455756126
893,942720,10057424,23,68205,80217,192,849255,800834,34.638378058864,941197.93,10023346.55,28.520848553247458
894,942266,10053053,23,68205,80184,191,849255,800505,31.45960195847025,941186.89,10023599.34,28.587648717244925
895,941880,10049330,22,68205,80217,190,849255,800830,29.070158089857255,941175.91,10023852.33,28.634844037489774
896,941515,10045755,22,68205,80200,189,849255,800652,27.428492693267067,941165.07,10024106.0,28.669280914501773
897,941112,10041805,22,68205,80165,188,849255,800305,26.166758022793005,941154.27,10024359.25,28.695673083198955
898,940753,10038261,22,68205,80130,187,849255,799962,25.199664083302064,941143.46,10024611.34,28.673926892866838
899,940358,10034472,22,68205,80081,186,849255,799459,24.49595972814101,941132.7,10024863.9,28.597360510796133
900,939975,10030685,22,68205,80064,185,849255,799293,23.90907226960399,941122.31,10025118.3,28.467884923483215
901,939593,10026998,22,68205,80031,184,849255,798964,23.715722330857965,941112.09,10025374.23,28.298005918607522
902,939222,10023344,22,68205,80032,183,849255,798974,23.424915107723525,941102.46,10025634.9,28.074048639929558
903,938844,10019727,21,68205,80016,182,849255,798818,23.216186330792645,941040.94,10025344.86,27.80207679401889
904,938483,10016157,21,68205,80001,181,849255,798663,23.0757370470509,940980.65,10025065.26,27.599329470810755
905,938139,10012796,21,68205,79985,180,849255,798510,26.850123655487877,940920.77,10024790.43,27.486715858981647
906,937774,10009314,21,68205,79970,179,849255,798358,30.246096989999593,940861.51,10024521.14,27.448151851391934
907,937401,10005686,21,68205,79955,178,849255,798208,33.31781360418742,940802.55,10024255.15,27.470815491604668
908,937014,10001912,21,68205,79940,177,849255,798059,36.18184867330132,940743.68,10023989.58,27.545073910114823
909,936629,9998174,21,68205,79925,176,849255,797912,38.98168338240754,940684.83,10023723.88,27.66364039164252
910,941328,10049053,21,68575,80304,176,853859,801716,44.159270899465504,940677.1,10024006.37,27.845457523342198
911,940870,10044688,21,68575,80261,174,853859,801283,38.65567225587121,940668.76,10024282.63,27.9719196044655
912,940489,10040952,20,68575,80219,172,853859,800854,34.50806320477894,940660.4,10024558.68,28.066894371715808
913,940134,10037401,20,68575,80238,170,853859,801047,31.38587969465868,940652.11,10024834.75,28.126158082432607
914,939754,10033723,20,68575,80249,168,853859,801161,29.036869120587504,940643.82,10025110.58,28.15941296663459
915,939386,10030152,20,68575,80249,166,853859,801161,27.39575914297416,940635.94,10025390.23,28.17503021990361
916,939023,10026665,19,68575,80267,164,853859,801343,26.167162349542863,940628.56,10025674.13,28.176415486290466
917,938657,10023039,19,68575,80249,162,853859,801160,25.38541000307493,940563.79,10025351.58,28.10895787494271
918,938292,10019474,19,68575,80231,160,853859,800978,24.64982567788919,940500.56,10025040.01,28.059688798404178
919,937940,10016058,19,68575,80213,158,853859,800798,24.100347242194413,940437.76,10024733.6,28.023866770838048
920,937625,10013047,18,68575,80195,156,853859,800620,27.57176113654293,940375.64,10024435.07,28.033572852149135
921,937268,10009565,18,68575,80178,154,853859,800444,31.99151755029503,940314.0,10024141.36,28.099301671964508
922,936909,10006072,12,68575,80160,103,853859,800270,36.20949273982413,940252.73,10023850.93,28.21397007219871
923,936527,10002325,12,68575,80143,102,853859,800097,40.229978067943506,940191.79,10023562.66,28.375340860377886
924,936145,9998620,12,68575,80126,101,853859,799926,44.259203580563536,940131.15,10023277.25,28.582548066967412
925,941441,10055862,12,68987,80638,100,859008,805072,48.99247128230415,940127.27,10023601.95,28.841312859472897
926,941010,10051657,12,68987,80621,99,859008,804904,42.35565137699375,940122.75,10023920.94,29.031842147479043
927,940604,10047716,12,68987,80590,98,859008,804588,37.344672518075384,940118.18,10024237.68,29.17171738166917
928,940238,10044071,11,68987,80559,97,859008,804274,33.70416947169193,940113.69,10024553.15,29.27216975955784
929,939879,10040606,11,68987,80527,96,859008,803953,30.817490084538175,940109.27,10024870.45,29.34232588686859
930,939545,10037352,11,68987,80511,95,859008,803805,28.65881810459425,940105.18,10025191.31,29.39041544650089
931,939182,10033779,11,68987,80513,94,859008,803832,26.999995931386863,940101.48,10025515.5,29.422244352229814
932,938821,10030301,11,68987,80544,93,859008,804136,25.898736444338468,940098.13,10025843.58,29.44258320417725
933,938442,10026624,11,68987,80510,92,859008,803798,25.02405233325385,940036.1,10025554.86,29.39294565349745
